UlasanNormal,UlasanStop,UlasanStem
"['sampai', 'dalam', 'kondisi', 'masih', 'tersegel', 'artinya', 'ini', 'benar', 'benar', 'barang', 'baru', 'bukan', 'barang', 'bekas', 'pakai', 'terima', 'kasih', 'banyak', 'seller', 'saya', 'sangat', 'puas']","['kondisi', 'tersegel', 'barang', 'barang', 'bekas', 'pakai', 'terima', 'kasih', 'seller', 'puas']",sampai dalam kondisi masih segel arti ini benar benar barang baru bukan barang bekas pakai terima kasih banyak seller saya sangat puas
"['spek', 'sama', 'sesuai', 'deskripsi', 'masya', 'allah', 'sesuai', 'pesanan', 'sekali', 'kualitas', 'juga', 'mantap', 'dipake', 'juga', 'enak', 'banget', 'pokoknya', 'sesuai', 'pesanan']","['spek', 'sesuai', 'deskripsi', 'masya', 'allah', 'sesuai', 'pesanan', 'kualitas', 'mantap', 'dipake', 'enak', 'banget', 'pokoknya', 'sesuai', 'pesanan']",spek sama sesuai deskripsi masya allah sesuai pesan sekali kualitas juga mantap dipake juga enak banget pokok sesuai pesan
"['packaging', 'aman', 'hp', 'dalam', 'kondisi', 'yang', 'sangat', 'baik', 'lengkap', 'dan', 'benar', 'benar', 'tidak', 'nyesel', 'sudah', 'belanja', 'disini', 'terima kasih', 'next', 'bakal', 'order', 'lagi']","['packaging', 'aman', 'hp', 'kondisi', 'lengkap', 'nyesel', 'belanja', 'terima kasih', 'next', 'order']",packaging aman hp dalam kondisi yang sangat baik lengkap dan benar benar tidak nyesel sudah belanja sini terima kasih next bakal order lagi
"['pilihan', 'terbaik', 'dehhh', 'beli', 'di', 'toko', 'ini', 'tidak', 'ngecewain', 'barang', 'original', 'saya', 'suka', 'sama', 'pelayanan', 'toko', 'ini', 'yang', 'ramah', 'dan', 'cepat', 'terima kasih', 'banyak', 'yahhhð\x9f\x91\x8d']","['pilihan', 'terbaik', 'dehhh', 'beli', 'toko', 'ngecewain', 'barang', 'original', 'suka', 'pelayanan', 'toko', 'ramah', 'cepat', 'terima kasih', 'yahhhð\x9f\x91\x8d']",pilih baik dehhh beli di toko ini tidak ngecewain barang original saya suka sama layan toko ini yang ramah dan cepat terima kasih banyak yahhh
"['dapet', 'harga', 'flashsale', 'dapet', 'cashback', 'pula', 'harga', 'jauh', 'dari', 'toko', 'offline', 'perdana', 'beli', 'hp', 'di', 'onlinealhamdulilah', 'hasilnya', 'memuaskan', 'tanpa', 'ada', 'cacat', 'sedikitpun']","['dapet', 'harga', 'flashsale', 'dapet', 'cashback', 'harga', 'toko', 'offline', 'perdana', 'beli', 'hp', 'onlinealhamdulilah', 'hasilnya', 'memuaskan', 'cacat', 'sedikitpun']",dapet harga flashsale dapet cashback pula harga jauh dari toko offline perdana beli hp di onlinealhamdulilah hasil muas tanpa ada cacat sedikit
"['terima kasih', 'hpnya', 'dateng', 'dengan', 'selamat', 'sesuai', 'dengan', 'pesanan', 'untuk', 'sejauh', 'ini', 'hpnya', 'berjalan', 'dengan', 'normal', 'semoga', 'awet', 'ya', 'terima kasih']","['terima kasih', 'hpnya', 'dateng', 'selamat', 'sesuai', 'pesanan', 'hpnya', 'berjalan', 'normal', 'semoga', 'awet', 'ya', 'terima kasih']",terima kasih hpnya dateng dengan selamat sesuai dengan pesan untuk jauh ini hpnya jalan dengan normal moga awet ya terima kasih
"['terima kasih', 'suka', 'banget', 'sama', 'respon', 'penjualnya', 'ramah', 'dan', 'baik', 'hati', 'produknya', 'sangat', 'bagus', 'dan', 'harganya', 'worth', 'it', 'banget']","['terima kasih', 'suka', 'banget', 'respon', 'penjualnya', 'ramah', 'hati', 'produknya', 'bagus', 'harganya', 'worth', 'it', 'banget']",terima kasih suka banget sama respon jual ramah dan baik hati produk sangat bagus dan harga worth it banget
"['terima kasih', 'barang', 'sudah', 'datang', 'pengiriman', 'cepat', 'barang', 'mendarat', 'aman', 'pokoknya', 'bkal', 'nyesel', 'blanja', 'di', 'sini']","['terima kasih', 'barang', 'pengiriman', 'cepat', 'barang', 'mendarat', 'aman', 'pokoknya', 'bkal', 'nyesel', 'blanja']",terima kasih barang sudah datang kirim cepat barang darat aman pokok bkal nyesel blanja di sini
"['sesuai', 'ekspektasi', 'aman', 'normal', 'dan', 'memuaskan', 'semoga', 'kedepan', 'nya', 'tidak', 'ada', 'kendala', 'terima kasih', 'atas', 'pelayanan', 'nya', 'yang', 'ramah', 'dan', 'cepat', 'semoga', 'kedepan', 'nya', 'tambah', 'maju', 'la']","['sesuai', 'ekspektasi', 'aman', 'normal', 'memuaskan', 'semoga', 'kedepan', 'nya', 'kendala', 'terima kasih', 'pelayanan', 'nya', 'ramah', 'cepat', 'semoga', 'kedepan', 'nya', 'maju', 'la']",sesuai ekspektasi aman normal dan muas moga depan nya tidak ada kendala terima kasih atas layan nya yang ramah dan cepat moga depan nya tambah maju la
"['first', 'time', 'banget', 'beli', 'hp', 'onlineawalnya', 'rada', 'takut', 'tetapi', 'allhamdulillah', 'lancar', 'sampe', 'tujuanbarang', 'sesuai', 'pesanandan', 'packing', 'aman', 'terima', 'kasih']","['first', 'time', 'banget', 'beli', 'hp', 'onlineawalnya', 'rada', 'takut', 'allhamdulillah', 'lancar', 'sampe', 'tujuanbarang', 'sesuai', 'pesanandan', 'packing', 'aman', 'terima', 'kasih']",first time banget beli hp onlineawalnya rada takut tetapi allhamdulillah lancar sampe tujuanbarang sesuai pesanandan packing aman terima kasih
"['tidak', 'mengecewakan', 'sama', 'sekali', 'sih', 'order', 'disini', 'puas', 'dengan', 'kualitas', 'produk', 'nya', 'yang', 'baik', 'dan', 'bagusss']","['mengecewakan', 'sih', 'order', 'puas', 'kualitas', 'produk', 'nya', 'bagusss']",tidak kecewa sama sekali sih order sini puas dengan kualitas produk nya yang baik dan bagusss
"['akhirnya', 'paket', 'sudah', 'sampai', 'bagus', 'banget', 'pokoknya', 'kualitas', 'produknya', 'bagus']","['paket', 'bagus', 'banget', 'pokoknya', 'kualitas', 'produknya', 'bagus']",akhir paket sudah sampai bagus banget pokok kualitas produk bagus
"['mantapsenin', 'siang', 'pesenrabu', 'sudah', 'nympebintang', 'pstinya', 'sukses', 'slalu', 'barang', 'sesuai', ""pesend'layani"", 'dgn', 'sangat', 'baik', 'kita', 'follow', 'dlu']","['mantapsenin', 'siang', 'pesenrabu', 'nympebintang', 'pstinya', 'sukses', 'slalu', 'barang', 'sesuai', ""pesend'layani"", 'dgn', 'follow', 'dlu']",mantapsenin siang pesenrabu sudah nympebintang pstinya sukses slalu barang sesuai pesend layan dgn sangat baik kita follow dlu
[],[],
"['maaf', 'bangetkamera', 'parahhp', 'real', 'yang', 'dtng', 'canon', 'prointernetan', 'tidak', 'bisa', 'kalau', 'hp', 'sesuai', 'bentuknyatampilan', 'bentuk', 'bagus', 'seller', 'gercep', 'baik', 'hp', 'dus', 'tanpa', 'segel', 'plasti']","['maaf', 'bangetkamera', 'parahhp', 'real', 'dtng', 'canon', 'prointernetan', 'hp', 'sesuai', 'bentuknyatampilan', 'bentuk', 'bagus', 'seller', 'gercep', 'hp', 'dus', 'segel', 'plasti']",maaf bangetkamera parahhp real yang dtng canon prointernetan tidak bisa kalau hp sesuai bentuknyatampilan bentuk bagus seller gercep baik hp dus tanpa segel plasti
"['terima kasih', 'seller', 'barang', 'original', 'dan', 'masih', 'segel', 'sampai', 'sekarang', 'smartphone', 'nya', 'tidak', 'ada', 'masalah', 'packing', 'juga', 'rapih', 'pengiriman', 'cepat', 'amanah', 'banget', 'toko', 'ini', 'mantulll', 'dahhð\x9f\x98\x8d']","['terima kasih', 'seller', 'barang', 'original', 'segel', 'smartphone', 'nya', 'packing', 'rapih', 'pengiriman', 'cepat', 'amanah', 'banget', 'toko', 'mantulll', 'dahhð\x9f\x98\x8d']",terima kasih seller barang original dan masih segel sampai sekarang smartphone nya tidak ada masalah packing juga rapih kirim cepat amanah banget toko ini mantulll dahh
"['barang', 'original', 'tidak', 'ada', 'kerusakan', 'apapun', 'atau', 'lecet', 'semuanya', 'bagus', 'dan', 'berfungsi', 'seller', 'ramah', 'kurir', 'amanah', 'pengiriman', 'sesuai', 'estimasi', 'packing', 'rapih', 'aman', 'terima kasih', 'sel']","['barang', 'original', 'kerusakan', 'apapun', 'lecet', 'bagus', 'berfungsi', 'seller', 'ramah', 'kurir', 'amanah', 'pengiriman', 'sesuai', 'estimasi', 'packing', 'rapih', 'aman', 'terima kasih', 'sel']",barang original tidak ada rusa apa atau lecet semua bagus dan fungsi seller ramah kurir amanah kirim sesuai estimasi packing rapih aman terima kasih sel
"['wah', 'excited', 'banget', 'pas', 'pertama', 'kali', 'barangnya', 'dateng', 'ð\x9f\x98\x8dð\x9f\x98\x8d', 'terima kasih', 'seller', 'pelayanannya', 'top']","['excited', 'banget', 'pas', 'kali', 'barangnya', 'dateng', 'ð\x9f\x98\x8dð\x9f\x98\x8d', 'terima kasih', 'seller', 'pelayanannya', 'top']",wah excited banget pas pertama kali barang dateng  terima kasih seller layan top
"['alhamdulillah', 'barang', 'sudah', 'sampailangsung', 'di', 'pakai', 'dan', 'dicoba', 'semuanya', 'berfungsi', 'dengan', 'baikthanks', 'seller']","['alhamdulillah', 'barang', 'sampailangsung', 'pakai', 'dicoba', 'berfungsi', 'baikthanks', 'seller']",alhamdulillah barang sudah sampailangsung di pakai dan coba semua fungsi dengan baikthanks seller
"['produk', 'diterima', 'dalam', 'keadaan', 'bagus', 'karena', 'di', 'packing', 'dgn', 'baik', 'tidak', 'ada', 'kerusakan', 'sama', 'sekali', 'pengiriman', 'jg', 'cepat', 'bahkan', 'lebih', 'cepat', 'dari   ', 'estimasi', 'nya', 'ð\x9f\x91\x8d', 'terima kasih', 'ð\x9f\x91\x8d']","['produk', 'diterima', 'bagus', 'packing', 'dgn', 'kerusakan', 'pengiriman', 'jg', 'cepat', 'cepat', 'dari   ', 'estimasi', 'nya', 'ð\x9f\x91\x8d', 'terima kasih', 'ð\x9f\x91\x8d']",produk terima dalam ada bagus karena di packing dgn baik tidak ada rusa sama sekali kirim jg cepat bahkan lebih cepat dari estimasi nya  terima kasih 
"['yeay', 'sudah', 'nyampe', 'paket', 'sampai', 'dengan', 'aman', 'dan', 'tanpa', 'penyok', 'dibungkus', 'dengan', 'bublewrap', 'yang', 'tebal', 'juga', 'imei', 'juga', 'sudah', 'terdaftar', 'insyaallah', 'trusted', 'admin', 'ramah', 'dan', 'gercep']","['yeay', 'nyampe', 'paket', 'aman', 'penyok', 'dibungkus', 'bublewrap', 'tebal', 'imei', 'terdaftar', 'insyaallah', 'trusted', 'admin', 'ramah', 'gercep']",yeay sudah nyampe paket sampai dengan aman dan tanpa penyok bungkus dengan bublewrap yang tebal juga imei juga sudah daftar insyaallah trusted admin ramah dan gercep
"['terima kasih', 'seller', 'barang', 'sudah', 'diterima', 'dengan', 'baik', 'tidak', 'lecet', 'sedikitpun', 'dan', 'masih', 'segel', 'aman', 'terima kasih', 'juga', '&', 'sudah', 'mengantarkan', 'paket', 'saya', 'dengan', 'aman', 'than']","['terima kasih', 'seller', 'barang', 'diterima', 'lecet', 'sedikitpun', 'segel', 'aman', 'terima kasih', '&', 'mengantarkan', 'paket', 'aman', 'than']",terima kasih seller barang sudah terima dengan baik tidak lecet sedikit dan masih segel aman terima kasih juga  sudah antar paket saya dengan aman than
"['alhamdulillah', 'tabletnya', 'sudah', 'datang', 'langsung', 'dipakai', 'sama', 'anak', 'buat', 'belajar', 'mulus', 'tanpa', 'kekurangan', 'sedikit', 'pun', 'da', 'berfungsi', 'dengan', 'baik', 'juga', 'tabletnya', 'trimaksh', 'selle']","['alhamdulillah', 'tabletnya', 'langsung', 'dipakai', 'anak', 'belajar', 'mulus', 'kekurangan', 'da', 'berfungsi', 'tabletnya', 'trimaksh', 'selle']",alhamdulillah tablet sudah datang langsung pakai sama anak buat ajar mulus tanpa kurang sedikit pun da fungsi dengan baik juga tablet trimaksh selle
"['produk', 'diterima', 'dalam', 'keadaan', 'bagus', 'karena', 'di', 'packing', 'dgn', 'baik', 'tidak', 'ada', 'kerusakan', 'sama', 'sekali', 'pengiriman', 'jg', 'cepat', 'bahkan', 'lebih', 'cepat', 'dari   ', 'estimasi', 'nya', 'ð\x9f\x91\x8d', 'terima kasih', 'ð\x9f\x91\x8d']","['produk', 'diterima', 'bagus', 'packing', 'dgn', 'kerusakan', 'pengiriman', 'jg', 'cepat', 'cepat', 'dari   ', 'estimasi', 'nya', 'ð\x9f\x91\x8d', 'terima kasih', 'ð\x9f\x91\x8d']",produk terima dalam ada bagus karena di packing dgn baik tidak ada rusa sama sekali kirim jg cepat bahkan lebih cepat dari estimasi nya  terima kasih 
"['terima', 'kasih', 'barang', 'sudah', 'di', 'terima', 'dalam', 'keadaan', 'baik', 'harga', 'produk', 'sangat', 'baik', 'kualitas', 'produk', 'sangat', 'baik', 'produk', 'original', 'kecepatan', 'pengiriman', 'sangat', 'baik', 'respon', 'penjua']","['terima', 'kasih', 'barang', 'terima', 'harga', 'produk', 'kualitas', 'produk', 'produk', 'original', 'kecepatan', 'pengiriman', 'respon', 'penjua']",terima kasih barang sudah di terima dalam ada baik harga produk sangat baik kualitas produk sangat baik produk original cepat kirim sangat baik respon jua
"['tidak', 'nyesel', 'order', 'ditoko', 'ini', 'produk', 'nya', 'original', 'dan', 'bagus', 'next', 'order', 'beli', 'disini', 'lagi']","['nyesel', 'order', 'ditoko', 'produk', 'nya', 'original', 'bagus', 'next', 'order', 'beli']",tidak nyesel order toko ini produk nya original dan bagus next order beli sini lagi
"['alhamdulillah', 'barang', 'nya', 'sudah', 'nyampe', 'dgn', 'selamat', 'pengiriman', 'barang', 'nya', 'sangat', 'bagus', 'sekali', 'recommended', 'deh', 'buat', 'toko', 'ini', 'menjual', 'dgn', 'harga', 'terjangkau', 'barang', 'nya', 'mulus', 'da']","['alhamdulillah', 'barang', 'nya', 'nyampe', 'dgn', 'selamat', 'pengiriman', 'barang', 'nya', 'bagus', 'recommended', 'deh', 'toko', 'menjual', 'dgn', 'harga', 'terjangkau', 'barang', 'nya', 'mulus', 'da']",alhamdulillah barang nya sudah nyampe dgn selamat kirim barang nya sangat bagus sekali recommended deh buat toko ini jual dgn harga jangkau barang nya mulus da
"['produknya', 'bagus', 'banget', 'dan', 'pengiriman', 'super', 'cepet', 'banget', 'pengemasan', 'jg', 'rapih', 'terima kasih', 'bnyk', 'seller']","['produknya', 'bagus', 'banget', 'pengiriman', 'super', 'cepet', 'banget', 'pengemasan', 'jg', 'rapih', 'terima kasih', 'bnyk', 'seller']",produk bagus banget dan kirim super cepet banget emas jg rapih terima kasih bnyk seller
"['produknya', 'sesuai', 'pesanan', 'pengiriman', 'sangat', 'cepat', 'produknya', 'jg', 'bagus']","['produknya', 'sesuai', 'pesanan', 'pengiriman', 'cepat', 'produknya', 'jg', 'bagus']",produk sesuai pesan kirim sangat cepat produk jg bagus
"['alhamdulillah', 'barang', '&', 'kwalitasnya', 'bagus', 'sesuai', 'dengan', 'harga', 'suka', 'sekali', 'terima kasih', 'banyak', 'kak']","['alhamdulillah', 'barang', '&', 'kwalitasnya', 'bagus', 'sesuai', 'harga', 'suka', 'terima kasih', 'kak']",alhamdulillah barang  kwalitasnya bagus sesuai dengan harga suka sekali terima kasih banyak kak
"['barang', 'tidak', 'sesuai', 'yang', 'di', 'harap', 'kan', 'tidak', 'bisa', 'di', 'gunain', 'saya', 'beli', 'di', 'toko', 'ini']","['barang', 'sesuai', 'harap', 'gunain', 'beli', 'toko']",barang tidak sesuai yang di harap kan tidak bisa di gunain saya beli di toko ini
"['boros', 'baterai', 'kamera', 'masih', 'jadul', 'vga', 'ram', 'gede', 'tetapi', 'ngeblang', 'dan', 'suka', 'keluar', 'sendiri', 'pas', 'lagi', 'nyalain', 'buat', 'excel', 'ngk', 'kuat']","['boros', 'baterai', 'kamera', 'jadul', 'vga', 'ram', 'gede', 'ngeblang', 'suka', 'pas', 'nyalain', 'excel', 'ngk', 'kuat']",boros baterai kamera masih jadul vga ram gede tetapi ngeblang dan suka keluar sendiri pas lagi nyalain buat excel ngk kuat
"['barangnya', 'cepat', 'diproses', 'dan', 'ok', 'semoga', 'awet', 'ya', 'gan', 'terima kasih']","['barangnya', 'cepat', 'diproses', 'ok', 'semoga', 'awet', 'ya', 'gan', 'terima kasih']",barang cepat proses dan ok moga awet ya gan terima kasih
"['alhamdulilah', 'tablet', 'android', 'inch', 'sudah', 'saya', 'terima', 'harga', 'sesuai', 'dngan', 'ekspektasi', 'saya', 'pelayanan', 'gercep', 'sangat', 'cepat', 'mudah', 'an', 'awet', 'packing', 'aman', '&', 'mantabs', 'teru']","['alhamdulilah', 'tablet', 'android', 'inch', 'terima', 'harga', 'sesuai', 'dngan', 'ekspektasi', 'pelayanan', 'gercep', 'cepat', 'mudah', 'an', 'awet', 'packing', 'aman', '&', 'mantabs', 'teru']",alhamdulilah tablet android inch sudah saya terima harga sesuai dngan ekspektasi saya layan gercep sangat cepat mudah an awet packing aman  mantabs teru
"['crooks', 'all', 'info', 'written', 'on', 'listins', 'is', 'not', 'same', 'with', 'delivered', 'products', 'tidak', 'jujur', 'semua', 'info', 'yang', 'tertulis', 'di', 'listin', 'tidak', 'sama', 'dengan', 'info', 'di', 'dalam', 'produk', 'yang', 'diki']","['crooks', 'all', 'info', 'written', 'on', 'listins', 'is', 'not', 'same', 'with', 'delivered', 'products', 'jujur', 'info', 'tertulis', 'listin', 'info', 'produk', 'diki']",crooks all info written on listins is not same with delivered products tidak jujur semua info yang tulis di listin tidak sama dengan info di dalam produk yang dik
"['sinyal', 'bermasalah', 'program', 'lemot', 'kamera', 'jadul', 'kualitas', 'gambar', 'buram']","['sinyal', 'bermasalah', 'program', 'lemot', 'kamera', 'jadul', 'kualitas', 'gambar', 'buram']",sinyal masalah program lot kamera jadul kualitas gambar buram
"['terima kasih', 'ini', 'pembelian', 'ke', 'yang', 'ini', 'bwat', 'hadishsemoga', 'bagus', 'sukses', 'selalu']","['terima kasih', 'pembelian', 'bwat', 'hadishsemoga', 'bagus', 'sukses']",terima kasih ini beli ke yang ini bwat hadishsemoga bagus sukses selalu
"['kenapa', 'berbeda', 'dari', 'postingan/gambar', 'dan', 'apa', 'yang', 'tertulis', 'di', 'ponsel', 'saya', '>', 'kamera', 'ditulis', 'dan', 'mp', 'tetapi', 'hanya', 'dan', 'mp', '>', 'resolusi', 'tertulis']","['berbeda', 'postingan/gambar', 'tertulis', 'ponsel', '>', 'kamera', 'ditulis', 'mp', 'mp', '>', 'resolusi', 'tertulis']",kenapa beda dari postingan gambar dan apa yang tulis di ponsel saya  kamera tulis dan mp tetapi hanya dan mp  resolusi tulis
"['>', 'kamera', 'ditulis', 'dan', 'mp', 'tetapi', 'hanya', 'dan', 'mp', '>', 'resolusi', 'tertulis', 'tetapi', 'yang', 'tertulis', 'hanya', '>', 'baterai', 'tertulis', 'di', 'gambar', 'ma']","['>', 'kamera', 'ditulis', 'mp', 'mp', '>', 'resolusi', 'tertulis', 'tertulis', '>', 'baterai', 'tertulis', 'gambar', 'ma']", kamera tulis dan mp tetapi hanya dan mp  resolusi tulis tetapi yang tulis hanya  baterai tulis di gambar ma
"['kenapa', 'berbeda', 'dari', 'postingan/gambar', 'dan', 'apa', 'yang', 'tertulis', 'di', 'ponsel', 'saya', '>', 'kamera', 'ditulis', 'dan', 'mp', 'tetapi', 'hanya', 'dan', 'mp', '>', 'resolusi', 'tertulis']","['berbeda', 'postingan/gambar', 'tertulis', 'ponsel', '>', 'kamera', 'ditulis', 'mp', 'mp', '>', 'resolusi', 'tertulis']",kenapa beda dari postingan gambar dan apa yang tulis di ponsel saya  kamera tulis dan mp tetapi hanya dan mp  resolusi tulis
"['cepat', 'diproses', 'dan', 'barang', 'sampai', 'dengan', 'aman', 'tanpa', 'ada', 'rusak', 'sedikit', 'pun']","['cepat', 'diproses', 'barang', 'aman', 'rusak']",cepat proses dan barang sampai dengan aman tanpa ada rusak sedikit pun
"['terima kasih', 'barang', 'sudah', 'sampai', 'di', 'rumah', 'dengan', 'selamat', 'packing', 'nya', 'aman']","['terima kasih', 'barang', 'rumah', 'selamat', 'packing', 'nya', 'aman']",terima kasih barang sudah sampai di rumah dengan selamat packing nya aman
"['iya', 'harga', 'sesuai', 'kualitas', 'lahbarangnya', 'sesuai']","['iya', 'harga', 'sesuai', 'kualitas', 'lahbarangnya', 'sesuai']",iya harga sesuai kualitas lahbarangnya sesuai
"['barang', 'datang', 'dengan', 'selamat', 'sampai', 'tujuan', 'dan', 'admin', 'nya', 'sangat', 'ramah', 'maupun', 'pelayanan', 'pihak', 'kurir', 'pengiriman', 'yang', 'cepat', 'barang', 'tidak', 'cacat', 'dan', 'pelayanan', 'yang', 'memuaskan']","['barang', 'selamat', 'tujuan', 'admin', 'nya', 'ramah', 'pelayanan', 'kurir', 'pengiriman', 'cepat', 'barang', 'cacat', 'pelayanan', 'memuaskan']",barang datang dengan selamat sampai tuju dan admin nya sangat ramah maupun layan pihak kurir kirim yang cepat barang tidak cacat dan layan yang muas
"['trimaksh', 'barang', 'sudah', 'diterima', 'dengan', 'baik', 'tidak', 'cacat', 'bisa', 'langsung', 'dipakai', 'trimaksh', 'seller', 'dan', 'tuhan', 'memberkati']","['trimaksh', 'barang', 'diterima', 'cacat', 'langsung', 'dipakai', 'trimaksh', 'seller', 'tuhan', 'memberkati']",trimaksh barang sudah terima dengan baik tidak cacat bisa langsung pakai trimaksh seller dan tuhan kati
"['alhamdulillah', 'pesanan', 'sampai', 'dengan', 'selamat', 'baranv', 'sesuai', 'pesanan', 'dan', 'cepat']","['alhamdulillah', 'pesanan', 'selamat', 'baranv', 'sesuai', 'pesanan', 'cepat']",alhamdulillah pesan sampai dengan selamat baranv sesuai pesan dan cepat
"['alhamdulillah', 'akhirnya', 'paket', 'saya', 'sampe', 'dengan', 'baik', 'seneng', 'bangetttt', 'sukaaa', 'semoga', 'awet']","['alhamdulillah', 'paket', 'sampe', 'seneng', 'bangetttt', 'sukaaa', 'semoga', 'awet']",alhamdulillah akhir paket saya sampe dengan baik neng bangetttt sukaaa moga awet
"['overall', 'semuanya', 'baik', 'untuk', 'pesanan', 'bagus', 'sesuai', 'packingan', 'baik', 'dan', 'rapih', 'untuk', 'pengiriman', 'sangat', 'baik', 'cepat', 'sampai', 'barang', 'bagus', 'tidak', 'mengecewakan', 'penjual', 'ramah', 'bagus', 'ba']","['overall', 'pesanan', 'bagus', 'sesuai', 'packingan', 'rapih', 'pengiriman', 'cepat', 'barang', 'bagus', 'mengecewakan', 'penjual', 'ramah', 'bagus', 'ba']",overall semua baik untuk pesan bagus sesuai packingan baik dan rapih untuk kirim sangat baik cepat sampai barang bagus tidak kecewa jual ramah bagus ba
"['terima kasih', 'seller', 'kualitas', 'terbaik', 'sangat', 'memuaskan', 'dan', 'mudah', 'digunakan', 'sesuai', 'dengan', 'ekspektasi', 'baik', 'terima', 'kasih', 'sampe', 'cepet', 'dan', 'aman', 'mantap']","['terima kasih', 'seller', 'kualitas', 'terbaik', 'memuaskan', 'mudah', 'sesuai', 'ekspektasi', 'terima', 'kasih', 'sampe', 'cepet', 'aman', 'mantap']",terima kasih seller kualitas baik sangat muas dan mudah guna sesuai dengan ekspektasi baik terima kasih sampe cepet dan aman mantap
"['terima kasih', 'sudah', 'mengeluarkan', 'produk', 'sebagus', 'ini', 'keren', 'banget', 'saya', 'suka', 'packaging', 'nya', 'selalu', 'rapih', 'dan', 'baik', 'mas', 'nya', 'penjual', 'nya', 'sangat', 'baik', 'dan', 'ramah']","['terima kasih', 'mengeluarkan', 'produk', 'sebagus', 'keren', 'banget', 'suka', 'packaging', 'nya', 'rapih', 'mas', 'nya', 'penjual', 'nya', 'ramah']",terima kasih sudah keluar produk bagus ini keren banget saya suka packaging nya selalu rapih dan baik mas nya jual nya sangat baik dan ramah
"['pesanan', 'sesuai', 'deskripsi', 'handphone', 'original', 'hemat', 'banget', 'beli', 'disini', 'dan', 'saya', 'juga', 'dapat', 'koin', 'emas', 'plus', 'kupon', 'saya', 'bayar', 'total', 'lebih', 'dari', 'satu', 'juta']","['pesanan', 'sesuai', 'deskripsi', 'handphone', 'original', 'hemat', 'banget', 'beli', 'koin', 'emas', 'plus', 'kupon', 'bayar', 'total', 'juta']",pesan sesuai deskripsi handphone original hemat banget beli sini dan saya juga dapat koin emas plus kupon saya bayar total lebih dari satu juta
"['alhamdulillah', 'ponsel', 'nya', 'sudah', 'mendarat', 'dengan', 'selamatawal', 'nya', 'khawatir', 'tkut', 'gg', 'sampetp', 'mantappp', 'sudah', 'sampe', 'jugakirain', 'bkal', 'po', 'lamaehh', 'mlah', 'lebih', 'kilat', 'sudah', 'test', 'hp']","['alhamdulillah', 'ponsel', 'nya', 'mendarat', 'selamatawal', 'nya', 'khawatir', 'tkut', 'gg', 'sampetp', 'mantappp', 'sampe', 'jugakirain', 'bkal', 'po', 'lamaehh', 'mlah', 'kilat', 'test', 'hp']",alhamdulillah ponsel nya sudah darat dengan selamatawal nya khawatir tkut gg sampetp mantappp sudah sampe jugakirain bkal po lamaehh mlah lebih kilat sudah test hp
"['alhamdulilah', 'paket', 'sudah', 'sampai', 'dan', 'packing', 'nya', 'lumayan', 'rapiaman', 'pengiriman', 'super', 'cepat', 'pesan', 'jam', 'malam', 'datang', 'nya', 'jam', 'sore', 'kurir', 'amanah', 'toko', 'nya', 'sangat', 'jujur', 'terima']","['alhamdulilah', 'paket', 'packing', 'nya', 'lumayan', 'rapiaman', 'pengiriman', 'super', 'cepat', 'pesan', 'jam', 'malam', 'nya', 'jam', 'sore', 'kurir', 'amanah', 'toko', 'nya', 'jujur', 'terima']",alhamdulilah paket sudah sampai dan packing nya lumayan rapiaman kirim super cepat pesan jam malam datang nya jam sore kurir amanah toko nya sangat jujur terima
"['produk', 'diterima', 'dengan', 'aman', 'dan', 'selamat', 'packing', 'nya', 'aman', 'pengiriman', 'jga', 'lancar', 'hp', 'didalamnya', 'jga', 'aman', 'dan', 'sudah', 'dicoba', 'awalnya', 'ragu', 'tetapi', 'lihat', 'review', 'pengguna', 'lain', 'saya']","['produk', 'diterima', 'aman', 'selamat', 'packing', 'nya', 'aman', 'pengiriman', 'jga', 'lancar', 'hp', 'didalamnya', 'jga', 'aman', 'dicoba', 'ragu', 'lihat', 'review', 'pengguna']",produk terima dengan aman dan selamat packing nya aman kirim jga lancar hp dalam jga aman dan sudah coba awal ragu tetapi lihat review guna lain saya
"['awalnya', 'khawatir', 'lama', 'pengirimannya', 'admin', 'bilang', '-', 'hari', 'sudah', 'sampe', 'besoknya', 'sudah', 'nyampe', 'setelah', 'beli', 'kurirnya', 'aman', 'banget', 'hp', 'nya', 'original', 'sangat', 'senang', 'terima', 'kas']","['khawatir', 'pengirimannya', 'admin', 'bilang', '-', 'sampe', 'besoknya', 'nyampe', 'beli', 'kurirnya', 'aman', 'banget', 'hp', 'nya', 'original', 'senang', 'terima', 'kas']",awal khawatir lama kirim admin bilang - hari sudah sampe besok sudah nyampe telah beli kurir aman banget hp nya original sangat senang terima kas
"['barang', 'sudah', 'datang', 'dan', 'bagus', 'semoga', 'awet', 'terima', 'kasih']","['barang', 'bagus', 'semoga', 'awet', 'terima', 'kasih']",barang sudah datang dan bagus moga awet terima kasih
"['yes', 'and', 'recomended', 'store']","['yes', 'and', 'recomended', 'store']",yes and recomended store
"['sesuai', 'pesananpesan', 'cepatrespon', 'cepatsukses', 'selalu']","['sesuai', 'pesananpesan', 'cepatrespon', 'cepatsukses']",sesuai pesananpesan cepatrespon cepatsukses selalu
